R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,2,Victor Wembanyama,C,SA,70,31.1,0.473 (8.8/18.6),0.802 (4.5/5.6),2,24.1,11.6,4.4,1.4,3.9,3.4,13.88
2,2.4,Nikola Jokic,C,DEN,75,34.1,0.585 (10.4/17.8),0.819 (4.8/5.8),1.1,26.7,12.1,9,1.4,0.9,3,13.86
3,4.5,Shai Gilgeous-Alexander,PG,OKC,73,33.5,0.524 (10.2/19.5),0.880 (8.1/9.2),1.4,29.9,5.1,6.5,1.9,0.9,2.4,13.33
4,3.8,Luka Doncic,"PG,SG",DAL,68,36.8,0.491 (11.3/23.0),0.792 (7.6/9.7),4.1,34.4,9.3,9.9,1.4,0.5,3.8,12.97
5,7.4,Anthony Davis,"PF,C",LAL,67,34.5,0.559 (9.5/17.0),0.802 (5.8/7.3),0.4,25.2,12.7,3.6,1.2,2.3,2.1,11.91
6,9.6,Joel Embiid,C,PHI,60,31.4,0.518 (9.1/17.6),0.871 (8.7/9.9),1.3,28.1,10,3.9,0.9,1.4,3.3,11.32
7,6.7,Giannis Antetokounmpo,"PF,C",MIL,71,34.6,0.614 (11.8/19.2),0.671 (7.0/10.5),0.6,31.1,11.8,6.7,1.2,1.1,3.4,9.77
8,8.4,Tyrese Haliburton,"PG,SG",IND,69,33.6,0.483 (7.5/15.6),0.862 (3.1/3.5),3,21.1,3.9,11.1,1.4,0.7,2.5,9.51
9,12.5,Trae Young,PG,ATL,72,35.2,0.432 (8.4/19.5),0.877 (7.8/8.9),3.4,28.1,2.9,10.8,1.2,0.2,4.2,8.65
10,9.5,Jayson Tatum,"SF,PF",BOS,75,35.8,0.469 (9.4/20.1),0.836 (6.1/7.3),2.9,27.9,9,5.1,1.1,0.7,2.5,8.57
11,16.2,James Harden,"PG,SG",LAC,68,34.5,0.438 (6.5/14.8),0.871 (4.7/5.3),2.8,20.4,6.1,10.4,1.1,0.7,2.9,8.34
12,12.4,Stephen Curry,"PG,SG",GS,68,31.4,0.469 (8.8/18.7),0.918 (4.0/4.4),4.8,26.4,4.5,5.3,0.8,0.4,2.8,8.16
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
13,17,Donovan Mitchell,"PG,SG",CLE,67,33.7,0.468 (9.1/19.5),0.866 (4.6/5.4),3.3,26.2,4.4,5.4,1.6,0.4,2.8,7.78
14,26.6,Kyrie Irving,"PG,SG",DAL,61,34.8,0.495 (9.2/18.6),0.907 (3.2/3.6),3,24.6,4.9,5.2,1.2,0.6,1.8,7.76
15,18.3,Kevin Durant,"SF,PF",PHO,65,35.2,0.520 (9.5/18.3),0.846 (4.6/5.5),2.1,25.7,6.4,4.8,0.8,1.2,3.2,7.55
16,24.2,LeBron James,"SF,PF",LAL,67,34,0.535 (9.4/17.6),0.758 (4.3/5.6),2.1,25.2,7.2,8.2,1.1,0.5,3.3,7.39
17,19,Scottie Barnes,"SG,SF,PF",TOR,70,34.8,0.479 (7.0/14.5),0.791 (3.5/4.4),1.7,19.1,8.3,6,1.3,1.5,2.4,7.17
18,24.3,Damian Lillard,PG,MIL,70,35.2,0.432 (7.7/17.8),0.918 (6.5/7.0),3.1,24.9,4.5,7.1,0.9,0.3,2.9,7.12
19,20,Devin Booker,"PG,SG",PHO,68,35.1,0.490 (9.9/20.1),0.873 (5.9/6.8),2.2,27.8,4.5,5.5,1,0.4,2.7,7.1
20,22.3,LaMelo Ball,"PG,SG",CHA,58,32.4,0.427 (8.2/19.2),0.857 (3.2/3.7),3.6,23.2,5.7,8.6,1.6,0.3,3.5,7.04
21,22.1,Karl-Anthony Towns,"PF,C",NY,67,33.7,0.501 (7.4/14.8),0.873 (4.4/5.1),2.2,21.4,9.5,3.3,0.7,1,2.9,6.77
22,14.6,Domantas Sabonis,C,SAC,77,35.6,0.600 (7.2/12.1),0.725 (3.9/5.4),0.4,18.8,13.2,7.9,0.9,0.6,3.2,6.65
23,30.1,Lauri Markkanen,"SF,PF",UTA,64,33.5,0.483 (8.3/17.1),0.884 (4.9/5.6),3.1,24.5,8.4,1.9,0.8,0.5,1.7,6.58
24,17.6,Chet Holmgren,"PF,C",OKC,75,30.6,0.530 (6.5/12.2),0.793 (2.8/3.5),1.7,17.4,8.1,2.6,0.7,2.3,1.7,6.47
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
